action|action_type|disaster_type_title|disaster_type_detail|doc_page|doc_path|doc_title|doc_publisher|date_added|context_geography|context_usertype|notes
Get enough sleep and exercise.|disaster recovery|flooding|After a Flood|32|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Avoid or minimize watching news reports of frightening events.|disaster recovery|flooding|After a Flood|32|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Do not attempt to reconnect the electricity, natural gas, telephone or TV cable yourself|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Contact your service provider to reconnect it for you.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
A qualified service technician should verify the safety of any electrical system or appliance that has been affected by flood water before it is used|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Contact your local heating repair company to inspect your furnace and chimney.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Professional companies can help you with cleaning and repairing your home.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
If you are making an insurance claim, your insurance adjuster may help you find a contractor.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Arrange for any necessary inspections and building permits.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Your contractor may take care of these for you.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
If not, contact your Local Municipality to find out what steps you need to take.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Consider installing basement flooding prevention devices such as a backwater valve or sump pump.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
When repairing your home, be sure to work with a reputable contractor.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Get three quotes.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Check references.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Sign a written contract for the work.|disaster recovery|flooding|After a Flood|33|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Disconnect roof downspouts and divert runoff at least 2 metres (6ft) away from your home and away from sidewalks, driveways and neighbouring properties.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Ensure that sump pumps are working properly and have a backup power supply in case of power outage.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Do not drain or flush grease, oil and other materials not meant for the plumbing system.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Ensure weeping tile system is disconnected from the wastewater system.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Improve your lot grading to make sure the ground slopes away from your home.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Contact Mississauga at 311 or 905-615-4311 if outside city limits to report your flood.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen|
Call your insurance company as soon as possible.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
After the water has been safely removed, dry your home as quickly as possible to prevent mould growth.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
If damage is extensive, find a reputable restoration company and or contractor to help with clean up and repair.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Seek help if you or your children experience strong feelings of stress following a flood or significant weather-related event.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Wash hands frequently with soap and clean water.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Wear protective clothing before cleaning contaminated areas.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Clean contaminated surfaces first before disinfecting.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Carefully follow directions on disinfectants before using.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Have an exhaust fan to help dry areas quickly.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Discard contaminated food items.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Know where to get updated emergency information in your area.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Create and understand your emergency plan (e.g. what to do and where to go).|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Assemble a 72-hour Go-Kit.|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
Keep copies of important documentation and items of sentimental value out of the basement|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen|
For more information about Mississauga’s two drainage systems or to learn more about what you can do to prevent basement flooding in your home, visit mississauga.ca/flooding or dial 311 or 905-615-4311 if outside city limits|disaster recovery|flooding|After a Flood|34|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen|
Talk to your local government|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Local government’s often offer important advice for homeowners on how to protect their home from severe winds|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Towns and cities located in severe wind regions can offer a great deal of expertise on how to protect your home.|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Talk to your insurance agent or broker|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Sometimes specific types of damage can be excluded depending on your policy.|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Insurers can also identify common sources of damage in your subdivision that you should watch out for|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Have a building inspector evaluate your home|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Because each home is different, building inspectors can offer important insights into your home’s capacity to withstand storm-force winds|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Inspectors can provide important information on the age of your home, and its capacity to resist extreme winds.|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Contacting your municipality is the easiest way to find a good home inspector with knowledge on your area|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Home inspectors can help assess a home’s capacity to withstand storm-force winds|planning|severe wind|Before Severe Wind Disaster|4|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Storm-proof the roof|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If the roof is old or showing signs of damage or decay, re-roofing can significantly strengthen a home against strong winds.|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
The roof cover should be removed down to the sheathing.|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Sheathing should be checked for any damage and replaced as needed.|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Choose a high-wind rated roof cover and make sure ridge and off-ridge vents are also rated for high winds.|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If a homeowner is not ready to re-roof, check vents to be sure they will stay in place and are of the proper type and strength to resist high winds and wind-driven rain.|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Shutter any vents before a storm strikes or replace them with products rated for resistance to wind-driven rain intrusion.|risk mitigation|severe wind|Before Severe Wind Disaster|5|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Strengthen the fastening of the roof sheathing to the roof structure and provide a secondary water barrier by having a closed cell urethane-based adhesive spray foam applied from inside your attic.|risk mitigation|severe wind|Before Severe Wind Disaster|6|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
A gable roof can be strengthened by installing additional braces in the trusses and/or at the gable ends.|risk mitigation|severe wind|Before Severe Wind Disaster|6|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
A quali!ed builder can also install galvanized metal hurricane straps. These help to secure the roof to the walls.|risk mitigation|severe wind|Before Severe Wind Disaster|6|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Large gable end walls should be braced and tied into the roof and ceiling structure to keep them from being damaged during a violent storm. These help to secure the roof to the walls.|risk mitigation|severe wind|Before Severe Wind Disaster|6|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Doors should be pressure- and impact-rated or shuttered with a pressure- and impact-rated product.|risk mitigation|severe wind|Before Severe Wind Disaster|6|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Keep at least one protected entry door operable from inside the home.|risk mitigation|severe wind|Before Severe Wind Disaster|6|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Double-entry doors can be reinforced by adding a heavy-duty dead bolt, slide bolts at the top and bottom of the inactive door and longer hinge attachment screws into the doors and frame.|risk mitigation|severe wind|Before Severe Wind Disaster|7|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
The easiest and most effective way to protect windows and glass doors is to install storm shutters.|risk mitigation|severe wind|Before Severe Wind Disaster|7|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Permanently install any necessary wall-mounted hardware for removable shutters before a storm threatens.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Number all shutters and keep all of the removable hardware accessible for quick installation.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Make sure that the columns are adequately connected so that they hold the roof down, as well as holding it up.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Homeowners should look for a sticker indicating pressure rating suitable for their location.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Install a garage door with one that is pressure-rated or pressure- and impact-rated.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Install aftermarket vertical braces that are building code approved and available at a local home improvement store.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Check with the garage door manufacturer for a kit to strengthen the door and its track so that it has the properties found in new wind-rated doors appropriate for your location.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Garage doors can be strengthened by installing horizontal bracing in each panel.|risk mitigation|severe wind|Before Severe Wind Disaster|8|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Bracing kits can often be purchased from garage door manufacturers.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Homeowners may also need to add stronger supports and heavier hinges for their garage doors.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Consider replacing any off-ridge vents that are not rated for high-wind applications and wind-driven rain resistance.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Consult a reputable roofer in such cases.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Homeowners should check the condition of their soffit covers (the plastic or aluminum cover underneath the roof edge in between the eave and wall).|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If the soffit is damaged, it should be replaced.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Replace corroded material covers.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Check the attachment to the wall and eaves.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
To help anchor the soffits of a home, apply a bead of polyurethane sealant between the wall and the trim into which the soffit panels are inserted.|risk mitigation|severe wind|Before Severe Wind Disaster|9|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
A homeowner can also apply a dollop of caulk in the V-shaped hole where the joint between two soffit panels meets the trim.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Be sure to trim any trees and shrubs around the home.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Remove any dead or rotted trees, branches, or bushes, as well as other debris from around the yard.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Turn off propane tanks.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Make sure all items in the yard (e.g., storage sheds, lawn furniture, garbage cans and grills) are secure and heavy enough to stay put under normal conditions.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Never leave a patio umbrella up when not in use as it can easily be picked up by the wind and turned into a missile.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Consider replacing gravel or rock landscaping materials with shredded bark.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Store vehicles in a garage or other enclosure.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Moor boats securely.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If the boat is ashore on a jack stand, strap the boat down where possible.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If there is a pool on the property, cover the pump filter.|risk mitigation|severe wind|Before Severe Wind Disaster|10|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Make sure exterior cladding (siding and roofing) is rated for severe winds.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Securely anchor any outdoor accessories.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If you have a gable roof, check to see if it is properly braced.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Doors should be pressure and impact rated.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
If you have a double door, install a heavy-duty bolt, or slide bolts at the top and bottom of the inactive door.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Purchase shutters to protect windows from airborne debris.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Make sure connections between columns and porches or overhangs are adequately secured.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Check your garage door to see if it is pressure rated.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Ridge vents and sof!ts should be tightly connected to the roof to prevent water leakage.|risk mitigation|severe wind|Before Severe Wind Disaster|11|Actions\protect-your-home-from-severe-wind-pdf.pdf|Protect your home from Severe Wind|The Institute for Catastrophic Loss Reduction|2019-10-08|any|citizen|
Remove flammable trees and shrubs, such as pine, spruce and juniper.|risk avoidance|wildfire|Before Wildfire Disaster|4|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Also remove deadfall or woodpiles from this area.|risk avoidance|wildfire|Before Wildfire Disaster|4|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Keep your grass mowed and watered.|risk avoidance|wildfire|Before Wildfire Disaster|4|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Remove any trees and debris that would support the rapid spread of a wildfire.|risk avoidance|wildfire|Before Wildfire Disaster|5|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Make sure to thin or space trees so that the crowns (tops) of individual trees are at least 3 to 6 metres apart.|risk avoidance|wildfire|Before Wildfire Disaster|5|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Remove tree branches up to 2 metres from the ground.|risk avoidance|wildfire|Before Wildfire Disaster|5|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Also remove thick shrubbery and deadfall to reduce the chance that a wildfire will climb up into the forest canopy.|risk avoidance|wildfire|Before Wildfire Disaster|5|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Because fires spread more easily uphill and downwind it’s important to extend Priority Zone 2 further on downhill slopes and on windward exposures.|risk avoidance|wildfire|Before Wildfire Disaster|5|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
Thin or reduce the shrubs and trees that make up the understory.|risk avoidance|wildfire|Before Wildfire Disaster|5|Actions\protect-your-home-from-wildfire.pdf|Protect your home from Wildfire|The Institute for Catastrophic Loss Reduction|2019-10-09|any|citizen|
